run_ts,bar_date,nifty_open,overnight_ret_pct,day_ret_pct,nifty_close,rvol20,voltgt15_w,above_ma200,breadth,quiet7,positioning_date,retail_ratio,fii_ratio,retail_pctile_1y,cs_setup,cs_trigger,cs_stop,bajfin_close,fut_close,fut_overnight_ret_pct,fut_day_ret_pct,bnf_close,bnf_overnight_ret_pct,bnf_day_ret_pct,bnf_signal_tonight,mktvol_z,signal_tonight,held_last_night,result,pnl_1lot_rs,cum_pnl_1lot_rs,spx_last_ret_pct,signal_tonight_usfilter,engine2_picks,engine2_signal,net_overnight_pct,engine2_last_night_pct,engine2_result
2026-07-07T21:32:09,2026-07-07,24464.45,0.1396,-0.2688,24398.7,0.1077,1.0,False,0.486,ITC|ULTRACEMCO|RELIANCE|HINDUNILVR|SUNPHARMA|ASIANPAINT|POWERGRID,2026-07-07,0.7808,0.1075,0.964,False,,,1042.5,,,,,,,,,,,,,,,,,,,,
2026-07-08T21:39:42,2026-07-08,24259.55,-0.5703,-1.5561,23882.05,0.1365,1.0,False,0.395,RELIANCE|NTPC|SUNPHARMA|ASIANPAINT|ULTRACEMCO|ITC|GRASIM,2026-07-08,0.808,0.0919,1.0,False,,,1010.4,23912.2,-0.615,-1.5554,56742.6,-0.4853,-2.0298,SKIP,-0.018,SKIP,False,SKIPPED (gap was -0.57%),0.0,0.0,,,,,,,
2026-07-09T16:17:08,2026-07-09,23928.95,0.1964,0.1415,23962.8,0.1363,1.0,False,0.342,RELIANCE|NTPC|POWERGRID|SBIN|TATASTEEL|NIFTY1!|BANKNIFTY,2026-07-09,0.802,0.0956,0.996,False,,,1003.8,23999.3,0.2212,0.1427,57252.45,0.2263,0.6707,HOLD,-0.071,HOLD,False,SKIPPED (gap was +0.20%),0.0,0.0,,,,,,,
2026-07-10T16:07:44,2026-07-10,24124.7,0.6756,0.3407,24206.9,0.1388,1.0,False,0.474,POWERGRID|NTPC|RELIANCE|NIFTY1!|ULTRACEMCO|TATAMOTORS|BANKNIFTY,2026-07-10,0.7917,0.1064,0.98,True,1023.9,1004.2,1020.5,24241.9,0.5867,0.4217,58045.9,0.5939,0.7873,HOLD,-0.554,HOLD,True,WIN,9930.0,9930.0,0.814,SKIP,TATAMOTORS@337.95,HOLD,0.5517,,
2026-07-13T16:15:06,2026-07-13,24039.4,-0.692,0.7138,24211.0,0.1221,1.0,False,0.421,POWERGRID|ULTRACEMCO|RELIANCE|HINDUNILVR|TATAMOTORS|NIFTY1!|NTPC,2026-07-13,0.7867,0.1003,0.972,False,,,1022.6,24242.8,-0.6823,0.6907,58131.45,-0.7394,0.8934,HOLD,-0.354,HOLD,True,LOSS,-13042.0,-3112.0,0.421,SKIP,TCS@2181.50|HCLTECH@1221.20,HOLD,-0.7173,0.2943,WIN
2026-07-14T15:11:55,2026-07-14,24068.0,-0.5906,-0.0663,24052.05,0.1208,1.0,False,0.368,POWERGRID|ULTRACEMCO|TATAMOTORS|RELIANCE|HINDUNILVR|HEROMOTOCO|ONGC,2026-07-14,0.8039,0.0837,0.996,False,,,1006.6,24024.2,-0.5994,-0.3042,57462.3,-0.5142,-0.6402,SKIP,-0.049,SKIP,True,LOSS,-11535.0,-14647.0,-0.793,SKIP,,SKIP,-0.6344,-0.9559,LOSS
2026-07-15T15:12:26,2026-07-15,24085.85,0.1405,-0.0305,24078.5,0.1192,1.0,False,0.447,TATAMOTORS|HINDUNILVR|TITAN|HEROMOTOCO|RELIANCE|ASIANPAINT|NESTLEIND,2026-07-15,0.7993,0.0836,0.984,False,,,1021.3,24067.8,0.1865,-0.005,57757.85,0.3158,0.1979,HOLD,-0.384,SKIP,False,SKIPPED (gap was +0.14%),0.0,-14647.0,0.376,SKIP,,SKIP,,,
2026-07-16T15:21:22,2026-07-16,24142.1,0.2641,-0.2873,24072.75,0.1184,1.0,False,0.474,HINDUNILVR|TITAN|HEROMOTOCO|ONGC|TATAMOTORS|ASIANPAINT|NTPC,2026-07-16,0.7926,0.0845,0.972,False,,,1037.6,24096.4,0.2169,-0.0978,57582.25,0.1268,-0.4303,SKIP,-0.58,SKIP,False,SKIPPED (gap was +0.26%),0.0,-14647.0,0.382,SKIP,,SKIP,,,
2026-07-17T15:02:35,2026-07-17,24127.6,0.2279,0.8567,24334.3,0.124,1.0,False,0.5,HEROMOTOCO|TITAN|ONGC|TATAMOTORS|HINDUNILVR|NTPC|ASIANPAINT,2026-07-17,0.7498,0.1101,0.829,False,,,1056.3,24321.7,-0.0012,0.9363,58521.4,0.1385,1.4904,HOLD,-0.285,HOLD,False,SKIPPED (gap was +0.23%),0.0,-14647.0,-0.51,HOLD,TECHM@1572.90|AXISBANK@1328.50|JSWSTEEL@1237.30|BAJFINANCE@1056.30,HOLD,,,
2026-07-20T15:33:23,2026-07-20,24190.05,-0.5928,0.2003,24238.5,0.1225,1.0,False,0.474,ONGC|HEROMOTOCO|TITAN|TATAMOTORS|EICHERMOT|HINDUNILVR|WIPRO,2026-07-20,0.7656,0.0937,0.909,False,,,1064.0,24259.5,-0.1303,-0.1256,57945.0,-1.3382,0.3581,HOLD,-0.18,HOLD,True,LOSS,-3015.0,-17662.0,-1.01,HOLD,KOTAKBANK@382.05|JSWSTEEL@1257.00|ICICIBANK@1460.20,HOLD,-0.1653,-0.7243,LOSS
2026-07-21T15:26:17,2026-07-21,24216.05,-0.0926,-0.1171,24187.7,0.1222,1.0,False,0.474,TITAN|ONGC|HEROMOTOCO|TATAMOTORS|WIPRO|HINDUNILVR|EICHERMOT,2026-07-21,0.7628,0.0858,0.893,False,,,1069.2,24180.6,-0.1628,-0.1627,57835.35,-0.1575,-0.0318,SKIP,-0.258,SKIP,True,LOSS,-3599.0,-21261.0,-0.193,SKIP,,SKIP,-0.1978,0.2396,WIN
2026-07-22T15:23:46,2026-07-22,24150.45,-0.154,-0.6385,23996.25,0.1182,1.0,False,0.447,ONGC|TITAN|HINDUNILVR|TATAMOTORS|HEROMOTOCO|EICHERMOT|WIPRO,2026-07-22,0.7825,0.0813,0.94,False,,,1060.3,23988.4,-0.2246,-0.5716,57126.8,-0.1158,-1.1106,SKIP,-0.525,SKIP,False,SKIPPED (gap was -0.15%),0.0,-21261.0,0.886,SKIP,,SKIP,,,
2026-07-23T15:45:00,2026-07-23,23904.8,-0.3811,-0.1473,23869.6,0.116,1.0,False,0.447,ONGC|TITAN|HINDUNILVR|BHARTIARTL|TATAMOTORS|SUNPHARMA|WIPRO,2026-07-23,0.7807,0.0779,0.933,True,1061.2,1036.5,1039.8,23873.6,-0.4519,-0.0268,56592.0,-0.5774,-0.3608,SKIP,-0.218,SKIP,False,SKIPPED (gap was -0.38%),0.0,-21261.0,-0.136,SKIP,,SKIP,,,
